a,b,a_name,b_name,overlap_days,r0_raw_close,k_raw20,d_raw20,d_raw60max,r0_ret,k_ret_sig,d_ret_sig,k_ret60,d_ret60,h1_k,h1_d,h2_k,h2_d,half_stable,half_sign_consistent,p_bs,bs_pass,verdict
sse/880885,sse/880676,sse/880885 近端次新,sse/880676 活跃ETF,731,0.277954787146279,20,-0.1879739325111679,0.4954830948908143,0.6175284726045166,2,-0.25191665486332593,2,-0.25191665486332593,2,-0.343451645455154,2,-0.13779641604457615,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880811,sse/880770,sse/880811 陆股通减,sse/880770 昨日上榜,1072,-0.040474154122262865,20,0.15373709613127093,0.34334628978278786,0.4937683454883199,1,0.24056490302379432,1,0.24056490302379432,1,0.20588052493673145,1,0.28231487608677774,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880818,sse/880676,sse/880818 通达信热股,sse/880676 活跃ETF,731,-0.12352804869113283,20,-0.22978594188711782,0.6152249436773376,0.6148624920142678,1,-0.22548244702941483,1,-0.22548244702941483,1,-0.3193379182022169,16,-0.13522735717881595,False,True,,False,rejected:not_stable_not_significant
sse/880810,sse/880770,sse/880810 陆股通增,sse/880770 昨日上榜,1072,-0.010588689292115733,20,0.20779457465190448,0.39368385753123764,0.49319255947019763,1,0.2138399478073999,1,0.2138399478073999,1,0.1742471831005212,1,0.2624990459256283,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880811,sse/880785,sse/880811 陆股通减,sse/880785 最近多板,1210,0.37098509892620585,20,0.16304779713888806,0.4546733156164961,0.46768739358504446,1,0.21285907034537488,1,0.21285907034537488,1,0.23879417894799243,1,0.1858085477193606,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880446,sse/880818,sse/880446 电气设备,sse/880818 通达信热股,1005,0.41421921064033734,20,0.1345601720452927,0.49556699454159403,0.4711368882048918,1,0.21266677081139493,1,0.21266677081139493,1,0.21767397821083007,1,0.21078999937777781,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880770,sse/880677,sse/880770 昨日上榜,sse/880677 活跃可转债,731,-0.0971949102915466,20,0.14339582418148863,0.47488082559317,0.5426470827176281,1,-0.20362756484671435,1,-0.20362756484671435,1,-0.21791526683068785,1,-0.20350584951844247,True,True,0.0075,True,"VALIDATED:half-stable,bootstrap<0.05"
szse/399300,sse/880818,szse/399300 沪深300,sse/880818 通达信热股,1005,0.01706396471584667,20,0.1700379423612391,0.48653800592070584,0.49526418234339853,1,0.1986379340560426,1,0.1986379340560426,2,0.23213651394285958,1,0.21254577402163716,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880335,sse/880818,sse/880335 化工,sse/880818 通达信热股,1005,0.35093363516923126,20,0.13780314603817673,0.4814184134863546,0.49120505526727276,1,0.19697408438711378,1,0.19697408438711378,1,0.22086441667605483,1,0.18060554872455106,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880801,sse/880818,sse/880801 基金重仓,sse/880818 通达信热股,1005,0.02300846855378027,20,0.16704008297202508,0.5093579283485564,0.40864552446599134,1,0.1960666612015956,1,0.1960666612015956,2,0.21128545044175356,1,0.21325329703754664,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
szse/399001,sse/880818,szse/399001 深证成指,sse/880818 通达信热股,1005,0.1407478863919205,20,0.1540914275972761,0.4852615656230812,0.5944570307757541,1,0.1949061223556898,1,0.1949061223556898,2,0.2256649941380892,17,0.19855036544315485,False,True,,False,rejected:not_stable_not_significant
sse/880825,sse/880640,sse/880825 预计转亏,sse/880640 历史新高,579,0.6263920186766677,20,0.15679360010704002,0.3667440823868306,0.2900001893888798,8,0.1924125916209353,8,0.1924125916209353,19,-0.1485821122719207,8,0.3818837169814759,False,False,,False,rejected:sign_flips_between_halves
sse/880802,sse/880818,sse/880802 QFII重仓,sse/880818 通达信热股,1005,0.07324867037717256,20,0.14172335684285547,0.47372496135166403,0.5120371597685642,1,0.19179525802600664,1,0.19179525802600664,2,0.19318405332502442,1,0.21874803272216653,True,True,0.005,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880815,sse/880818,sse/880815 拟减持,sse/880818 通达信热股,1004,0.17125707199073922,20,0.1353407854735426,0.45525484014897327,0.6527606177737024,1,0.19061256228273502,1,0.19061256228273502,1,0.23238406727130656,17,0.16814481753431298,False,True,,False,rejected:not_stable_not_significant
sse/880808,sse/880818,sse/880808 股东减持,sse/880818 通达信热股,1005,0.212384131184842,20,0.1459175259229028,0.4986735420125239,0.6556632652411991,1,0.19034246703836055,1,0.19034246703836055,1,0.19518070610288835,1,0.18939927299766718,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880771,sse/880818,sse/880771 MSCI中盘,sse/880818 通达信热股,1005,0.11272522775057689,20,0.13954880198671107,0.4411983710168865,0.6066362569421765,1,0.18844011545179273,1,0.18844011545179273,2,0.21930800134562248,1,0.17921067590735398,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880810,sse/880785,sse/880810 陆股通增,sse/880785 最近多板,1210,0.06964831107059988,20,0.17849915241787126,0.48041551442808844,0.4442305008147642,1,0.18815528226564476,1,0.18815528226564476,1,0.19337264321932196,1,0.18607434560634042,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880573,sse/880825,sse/880573 摘帽,sse/880825 预计转亏,940,0.29371805159111763,20,-0.1021937821688568,0.4060494794947747,0.5137856221592043,19,0.18518521280685252,19,0.18518521280685252,19,0.34049937425572185,1,0.1462394495322014,False,True,,False,rejected:not_stable_not_significant
sse/880816,sse/880818,sse/880816 密集调研,sse/880818 通达信热股,1005,0.18106404238222285,20,0.15158347508565567,0.4924476353292685,0.567246141615848,1,0.18517617060038516,1,0.18517617060038516,1,0.25809717815463884,17,0.2056798943180722,False,True,,False,rejected:not_stable_not_significant
sse/880885,sse/880641,sse/880885 近端次新,sse/880641 历史新低,670,-0.22674161228588424,20,-0.14866139234440895,0.8396933205289492,0.15560180378866145,15,0.18495121568281142,15,0.18495121568281142,15,0.3024576322719732,14,-0.1472454214753235,False,False,,False,rejected:sign_flips_between_halves
sse/880864,sse/880641,sse/880864 昨日振荡,sse/880641 历史新低,670,0.11149546180619395,20,-0.12528267162130724,0.5793668556277044,0.12909952044447606,16,0.1843005134247257,16,0.1843005134247257,16,0.2989261918399717,14,-0.174128570253794,False,False,,False,rejected:sign_flips_between_halves
sse/880780,sse/880676,sse/880780 融资增加,sse/880676 活跃ETF,731,-0.2333451410733707,20,-0.16411192600351698,0.43019368913866074,0.6954856816805061,1,-0.18294745352007002,1,-0.18294745352007002,1,-0.2276733759990443,1,-0.13617391761473124,True,True,0.0175,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880793,sse/880818,sse/880793 基金减仓,sse/880818 通达信热股,1005,0.21143531056546,20,0.15089021358447985,0.5037050500888739,0.602654236328247,1,0.1828002037610621,1,0.1828002037610621,2,0.20316296678780457,17,0.1911370998567125,False,True,,False,rejected:not_stable_not_significant
sse/880894,sse/880818,sse/880894 养老金持股,sse/880818 通达信热股,1005,0.06486938369668227,20,0.13331653051051892,0.4172887009455333,0.5498154115067447,1,0.18259393148956776,1,0.18259393148956776,2,0.25458693937435545,17,0.19280877391741474,False,True,,False,rejected:not_stable_not_significant
sse/880723,sse/880818,sse/880723 发可转债,sse/880818 通达信热股,1005,0.4017237018786861,20,0.1254760105641049,0.45475515875939954,0.5449325690550472,1,0.1818062571870571,1,0.1818062571870571,2,0.24083010650655,1,0.1705993924981251,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880837,sse/880641,sse/880837 活跃股,sse/880641 历史新低,670,-0.08362270336377325,20,-0.09245310524103266,0.4171400559845323,0.14621536207979413,15,0.18023913726898233,15,0.18023913726898233,16,0.3008011812949398,14,-0.20039739367715464,False,False,,False,rejected:sign_flips_between_halves
sse/880857,sse/880818,sse/880857 证金汇金持股,sse/880818 通达信热股,1005,0.19791342724989525,20,0.14759476231357463,0.44160587489212494,0.39990876934997877,1,0.1795206857880403,1,0.1795206857880403,2,0.19004260296144754,1,0.192016528730144,True,True,0.005,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880351,sse/880818,sse/880351 矿物制品,sse/880818 通达信热股,1005,0.40475120083424737,20,0.12609018250235948,0.5107281132221418,0.5374826328613691,1,0.1789848093542093,1,0.1789848093542093,1,0.2572326803666151,19,-0.1380552530082839,False,False,,False,rejected:sign_flips_between_halves
sse/880603,sse/880818,sse/880603 新进指标股,sse/880818 通达信热股,1005,0.11557530390805178,20,0.1420378435287223,0.5006277277398777,0.5143058855019838,1,0.1783828981331324,1,0.1783828981331324,1,0.22933990903758697,17,0.1850320377563647,False,True,,False,rejected:not_stable_not_significant
sse/880735,sse/880818,sse/880735 专精特新,sse/880818 通达信热股,1005,0.1427580204863615,20,0.13076363440122163,0.46482708130615563,0.6503425253611845,1,0.1779112182657023,1,0.1779112182657023,1,0.197902449242875,17,0.18252372531985,False,True,,False,rejected:not_stable_not_significant
szse/399101,sse/880818,szse/399101 中小板综指,sse/880818 通达信热股,1005,0.08035595233700443,20,0.13177685523459884,0.4393118736803809,0.6330614304284827,1,0.1759276544911002,1,0.1759276544911002,2,0.21266632945136407,17,0.17187220693527067,False,True,,False,rejected:not_stable_not_significant
sse/880843,sse/880721,sse/880843 业绩预降,sse/880721 北上重仓,913,0.6981777824892859,20,-0.1795082887780558,0.43409717055601976,0.4740280914807651,1,-0.17513261279452969,1,-0.17513261279452969,9,-0.16080685828585828,1,-0.22572884003985394,False,True,,False,rejected:not_stable_not_significant
sse/880878,sse/880818,sse/880878 百元股,sse/880818 通达信热股,1005,0.6044726664287449,20,0.14729069889834345,0.485886275060936,0.5864931073159994,1,0.17423492541877364,1,0.17423492541877364,1,0.21708503506551347,17,0.20968894915859315,False,True,,False,rejected:not_stable_not_significant
sse/880827,sse/880818,sse/880827 高市净率,sse/880818 通达信热股,1005,0.1172976002971503,20,0.13998285568397906,0.4670271028367315,0.5770510532515932,1,0.17418157076899635,1,0.17418157076899635,1,0.21433635414884614,1,0.1702705449699115,True,True,0.0025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880785,sse/880603,sse/880785 最近多板,sse/880603 新进指标股,1086,0.22623841875411357,18,0.4086307018972353,0.47661684567460505,0.12219707875818692,14,-0.17371682299993585,14,-0.17371682299993585,1,-0.20301582391162315,14,-0.2190628509099121,False,True,,False,rejected:not_stable_not_significant
sse/880344,sse/880825,sse/880344 建材,sse/880825 预计转亏,940,0.39599384994974557,20,-0.23249712166342515,0.6450529885119171,0.5264616593248782,1,0.16583495564654446,1,0.16583495564654446,8,0.12740478091036084,1,0.22111405578767232,False,True,,False,rejected:not_stable_not_significant
sse/880836,sse/880822,sse/880836 配股股,sse/880822 昨收活跃,1033,0.5567167924745308,20,0.16208017674543673,0.4559310311677969,0.330270904708713,17,0.16529464543367547,17,0.16529464543367547,8,-0.1138288337350612,17,0.2014697818112862,False,False,,False,rejected:sign_flips_between_halves
sse/880453,sse/880676,sse/880453 公共交通,sse/880676 活跃ETF,731,0.6399368700289696,20,0.1514590042437659,0.4540980524349922,0.37508351595140255,2,-0.16521835048871097,2,-0.16521835048871097,2,-0.25852799770557894,12,-0.12392425839894003,False,True,,False,rejected:not_stable_not_significant
sse/880854,sse/880825,sse/880854 预高送转,sse/880825 预计转亏,650,0.07179235224487543,20,-0.17867900266736045,0.5044949300368518,0.12197645830709468,16,-0.16406843072280686,57,0.18009126764576705,16,-0.21671653178133096,8,-0.19875060570403266,False,True,,False,rejected:not_stable_not_significant
sse/880453,sse/880723,sse/880453 公共交通,sse/880723 发可转债,1221,0.0520200691209467,20,0.1615549576460769,0.570648781877992,0.461012444710938,2,-0.1624430119269007,2,-0.1624430119269007,2,-0.13209824818225316,2,-0.17784170527291454,True,True,0.005,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880802,sse/880825,sse/880802 QFII重仓,sse/880825 预计转亏,940,0.4884711382151353,20,-0.17090879307435802,0.4830549637466495,0.5110109937519275,1,0.16057855381173536,1,0.16057855381173536,19,0.12317576254170186,1,0.24934715112400102,False,True,,False,rejected:not_stable_not_significant
sse/880305,sse/880772,sse/880305 电力,sse/880772 最近闪拉,1038,-0.2618494924642705,20,0.16032956205955642,0.38442111716982147,0.010144849238068502,14,0.1604705776115999,44,0.19742241379809,10,-0.10491840908314884,14,0.19990214930848282,False,False,,False,rejected:sign_flips_between_halves
sse/880890,sse/880641,sse/880890 配股预案,sse/880641 历史新低,619,-0.598146629792229,20,-0.15512869546155272,0.30720579378934015,0.3077014374162106,2,0.15945369793576952,2,0.15945369793576952,2,0.20817300591788462,1,0.23603251006561415,True,True,0.2425,False,rejected:half-stable
szse/399001,sse/880825,szse/399001 深证成指,sse/880825 预计转亏,940,0.5590540156203414,20,-0.16264530856112092,0.45844055536415845,0.5974850884762991,2,0.15922504218840672,2,0.15922504218840672,19,0.163863356689899,1,0.23646547572991392,False,True,,False,rejected:not_stable_not_significant
sse/880825,sse/880723,sse/880825 预计转亏,sse/880723 发可转债,846,0.4041324094094331,20,0.17253448640489982,0.5594470219303336,0.5241249538550113,2,-0.15883877878897623,2,-0.15883877878897623,2,-0.17588424606229142,1,-0.2292809229717885,True,True,0.045,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880825,sse/880603,sse/880825 预计转亏,sse/880603 新进指标股,711,0.4174253273907056,20,0.18869244080699565,0.4882471778373805,0.5323557557219153,1,-0.1585305477924568,1,-0.1585305477924568,4,-0.21033316615563935,1,-0.14498850560134321,True,True,0.115,False,rejected:half-stable
sse/880772,sse/880898,sse/880772 最近闪拉,sse/880898 近已解禁,573,-0.3037081945716285,20,-0.4601446023253079,0.712369733407726,-0.01237613612392805,16,-0.15813847818879703,44,-0.19772940660310062,16,-0.20236959983094624,2,-0.18202498267955067,False,True,,False,rejected:not_stable_not_significant
sse/880330,sse/880818,sse/880330 化纤,sse/880818 通达信热股,1005,0.508928086531293,20,0.10518304101822917,0.42057125683706287,0.378725769215343,1,0.15809324125045818,1,0.15809324125045818,2,0.15244082703806164,1,0.16369785771628478,True,True,0.0225,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880854,sse/880641,sse/880854 预高送转,sse/880641 历史新低,517,0.803620784964616,20,0.10700102316113413,0.48325939763752057,0.5111259407912032,1,0.1560653290899735,1,0.1560653290899735,18,-0.2523905032662365,1,0.22276932200682584,False,False,,False,rejected:sign_flips_between_halves
sse/880872,sse/880603,sse/880872 近期复牌,sse/880603 新进指标股,1086,0.5824897189429891,20,0.2418334446551743,0.47083646295670434,0.4986021623224185,1,-0.15585950921792613,1,-0.15585950921792613,1,-0.1722106327038468,1,-0.14727759124457965,True,True,0.0075,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880785,sse/880677,sse/880785 最近多板,sse/880677 活跃可转债,731,0.21563087557043814,20,0.21427212912480004,0.3332757053388769,0.09882011732620781,14,-0.15477966201237617,14,-0.15477966201237617,1,-0.1875886359106757,14,-0.2079033715860942,False,True,,False,rejected:not_stable_not_significant
sse/880372,sse/880818,sse/880372 食品饮料,sse/880818 通达信热股,1005,0.5558388323346705,20,0.12796892578391583,0.40596623703756046,0.28594020288234573,1,0.15445107119871138,1,0.15445107119871138,13,-0.13538479507603735,1,0.17683145572597705,False,False,,False,rejected:sign_flips_between_halves
sse/880430,sse/880818,sse/880430 航空,sse/880818 通达信热股,1005,0.0688951797438683,20,0.12223764232833542,0.41035344340999436,0.4757802508512848,1,0.15319400026573587,1,0.15319400026573587,1,0.1408122293130975,1,0.16245639788937855,True,True,0.0125,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880472,sse/880825,sse/880472 证券,sse/880825 预计转亏,940,0.8384766706538958,20,0.15239474889790683,0.23684937435903441,0.5125428360330253,2,0.15309163267883874,2,0.15309163267883874,13,0.18769306062296076,2,0.25727623776578556,False,True,,False,rejected:not_stable_not_significant
sse/880779,sse/880818,sse/880779 高融资盘,sse/880818 通达信热股,1005,0.1555281396646176,20,0.12147021648298602,0.4308889870379514,0.5802167603934644,1,0.1499867492457086,1,0.1499867492457086,2,0.18742792930257407,17,0.16937876038363053,False,True,,False,rejected:not_stable_not_significant
sse/880344,sse/880818,sse/880344 建材,sse/880818 通达信热股,1005,0.37299256874687464,20,0.1533169257681546,0.5320611593933431,0.4877313227795513,2,0.14967955358044283,2,0.14967955358044283,2,0.1753579822932121,2,0.13722122804974796,True,True,0.025,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880835,sse/880825,sse/880835 绩优股,sse/880825 预计转亏,940,0.20652565063656353,20,-0.16281159670993106,0.4942305303287021,0.403873297061577,2,0.14961996435908548,2,0.14961996435908548,19,0.19770295893731982,1,0.304949399928626,False,True,,False,rejected:not_stable_not_significant
sse/880890,sse/880756,sse/880890 配股预案,sse/880756 机构吸筹,973,0.10204024000929138,20,0.1985312781264277,0.39800262809143816,0.3162583859701428,2,0.14885775468099918,39,0.1775825530456966,2,0.1562595783082115,9,-0.1430860405915647,False,False,,False,rejected:sign_flips_between_halves
sse/880834,sse/880772,sse/880834 微利股,sse/880772 最近闪拉,1038,-0.3670175609752478,20,0.2691972535202437,0.4976359936348479,0.08054679503896513,14,0.14859196220618134,14,0.14859196220618134,7,0.06364828896925055,14,0.22761981369101847,False,True,,False,rejected:not_stable_not_significant
sse/880771,sse/880825,sse/880771 MSCI中盘,sse/880825 预计转亏,940,0.627840603487354,20,-0.15095206067067624,0.44577578993317024,0.5987256157677244,1,0.1479692357522472,1,0.1479692357522472,19,0.16395898664301672,1,0.2462678226821614,False,True,,False,rejected:not_stable_not_significant
sse/880826,sse/880677,sse/880826 低市盈率,sse/880677 活跃可转债,731,-0.48409522071449373,20,0.1785293913470284,0.5201771395572008,0.11701388284286536,15,0.1457609202320426,56,-0.15605427415288559,17,0.17691725862194427,15,0.18540688273000613,True,True,0.1475,False,rejected:half-stable
sse/880490,sse/880785,sse/880490 通信设备,sse/880785 最近多板,1659,0.4995159137266562,18,-0.15885795350987442,0.15885795350987442,0.16563434246365705,14,0.1457022927918697,14,0.1457022927918697,1,0.12236443810326839,14,0.17299259336400466,False,True,,False,rejected:not_stable_not_significant
sse/880817,sse/880772,sse/880817 商誉减值,sse/880772 最近闪拉,1038,-0.3524854642874892,20,0.3061303233353343,0.5665419953898009,0.09655700876779784,16,0.1455467102730005,16,0.1455467102730005,8,-0.08289095514356401,16,0.20754957265123686,False,False,,False,rejected:sign_flips_between_halves
sse/880877,sse/880818,sse/880877 户数减少,sse/880818 通达信热股,1005,0.24338674032688368,20,0.1321881479926909,0.47049021421312076,0.5773022542617394,1,0.14474708551691873,1,0.14474708551691873,1,0.21132711602266857,17,0.1326724459274185,False,True,,False,rejected:not_stable_not_significant
sse/880890,sse/880640,sse/880890 配股预案,sse/880640 历史新高,752,-0.1068613020148388,20,0.25351886495766995,0.6082039909040967,0.06366479902568287,18,-0.14394549592844588,18,-0.14394549592844588,16,-0.14810237919537209,18,-0.18959602949835835,True,True,0.1725,False,rejected:half-stable
sse/880885,sse/880677,sse/880885 近端次新,sse/880677 活跃可转债,731,0.7898809812500057,20,0.12593388911418457,0.4170427709734058,0.5806320531984343,2,-0.14374822306533874,2,-0.14374822306533874,2,-0.14455014289078008,2,-0.1557589533613466,True,True,0.1275,False,rejected:half-stable
sse/880827,sse/880825,sse/880827 高市净率,sse/880825 预计转亏,940,0.51499935430692,20,-0.21008608504856785,0.556344568028018,0.41290192729223596,2,0.14362790379791177,2,0.14362790379791177,19,0.16353098397239912,1,0.20909247310278228,False,True,,False,rejected:not_stable_not_significant
sse/880453,sse/880677,sse/880453 公共交通,sse/880677 活跃可转债,731,-0.5265406197551489,20,0.1250580676560285,0.47725003513761477,0.4268915376454419,12,-0.1435721111729489,12,-0.1435721111729489,18,-0.16070586099416828,12,-0.18703582778109462,False,True,,False,rejected:not_stable_not_significant
sse/880390,sse/880640,sse/880390 汽车类,sse/880640 历史新高,919,0.6336266884094383,20,0.1541634545512499,0.23667916419174517,0.3011858700032853,20,0.14335076709481295,20,0.14335076709481295,2,0.13810345982288905,20,0.14927362975178748,False,True,,False,rejected:not_stable_not_significant
sse/880471,sse/880677,sse/880471 银行,sse/880677 活跃可转债,731,-0.5623093363994763,20,0.1751749403289125,0.49484099571184575,-0.11180939621981693,15,0.14292719525406117,56,-0.1462015767872259,17,0.19654326958231383,15,0.19907242792889485,True,True,0.12,False,rejected:half-stable
sse/880825,sse/880677,sse/880825 预计转亏,sse/880677 活跃可转债,512,-0.17101756460457113,20,0.2532192200126512,0.73747045168705,0.5348412282532033,1,-0.14287924807604518,31,0.14495749496700497,3,-0.21112096669404873,8,0.1748755923771334,False,False,,False,rejected:sign_flips_between_halves
sse/880829,sse/880677,sse/880829 低市净率,sse/880677 活跃可转债,731,-0.5195629436476391,20,0.18494626160232303,0.5370479839363143,0.07024383605939057,15,0.14283735748991253,28,0.14779187194664556,2,0.1656974674587989,15,0.19019409245526195,False,True,,False,rejected:not_stable_not_significant
sse/880824,sse/880818,sse/880824 高市盈率,sse/880818 通达信热股,1005,0.18252115191319107,20,0.13671156023925457,0.4464352630286691,0.7146209795599654,1,0.1424591300547836,1,0.1424591300547836,2,0.148778150291993,1,0.1482394645521261,True,True,0.035,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880454,sse/880772,sse/880454 水务,sse/880772 最近闪拉,1038,-0.35958371731491523,20,0.24159662811567534,0.5142102098441512,0.060581402573084454,14,0.1423384834966403,44,0.17324546626059623,13,0.09923842164330787,14,0.189624683119734,True,True,0.1,False,rejected:half-stable
sse/880880,sse/880676,sse/880880 近期强势,sse/880676 活跃ETF,731,0.5339706774299066,20,-0.21477480304270236,0.588335776058133,0.537913715023928,12,-0.14160659496103495,12,-0.14160659496103495,12,-0.2632599541401488,4,-0.13064566323403068,False,True,,False,rejected:not_stable_not_significant
sse/880875,sse/880677,sse/880875 中小银行,sse/880677 活跃可转债,731,-0.5267319095168976,20,0.18266266941153292,0.5338247817991153,0.05003801292762698,15,0.1411732818477308,56,-0.18450728729872343,17,0.24853587721794632,15,0.1651794524303596,True,True,0.1475,False,rejected:half-stable
sse/880785,sse/880619,sse/880785 最近多板,sse/880619 业绩预增,1044,0.4736836061465833,18,0.17679249934047375,0.17679249934047375,0.08927880909601929,5,0.14012565674063904,5,0.14012565674063904,11,-0.13392852356457868,5,0.1885010266078959,False,False,,False,rejected:sign_flips_between_halves
sse/880872,sse/880677,sse/880872 近期复牌,sse/880677 活跃可转债,731,-0.058444815223532134,20,0.16387847031486238,0.44166007866345824,0.4915279034488408,1,-0.13923654647146666,1,-0.13923654647146666,16,-0.1351913199187924,1,-0.25223941544273176,False,True,,False,rejected:not_stable_not_significant
sse/880848,sse/880818,sse/880848 被举牌,sse/880818 通达信热股,1005,0.08272154051236331,20,0.13531569547917596,0.4421942058107411,0.40390198025431595,2,0.13916599005042152,2,0.13916599005042152,2,0.20740160579041458,17,0.1817311786125041,False,True,,False,rejected:not_stable_not_significant
sse/880350,sse/880825,sse/880350 造纸,sse/880825 预计转亏,940,0.6450854317867958,20,-0.14962266783249373,0.45473256068577156,0.5890200037584197,1,0.13886825223208316,1,0.13886825223208316,11,-0.17585703615905632,1,0.21147343286833356,False,False,,False,rejected:sign_flips_between_halves
sse/880559,sse/880677,sse/880559 要约收购,sse/880677 活跃可转债,731,-0.049005482008961966,20,0.15430970885255024,0.5037201403958547,0.5160533325547974,1,-0.13789147019048886,1,-0.13789147019048886,5,0.12151443032348433,1,-0.23752743209095398,False,False,,False,rejected:sign_flips_between_halves
sse/880456,sse/880818,sse/880456 环境保护,sse/880818 通达信热股,1005,0.16815918545404787,20,0.102824690426683,0.41624183549591487,0.5310245077256182,1,0.1378414089374037,1,0.1378414089374037,2,0.15828990091447281,1,0.13427819289800758,True,True,0.05,True,"VALIDATED:half-stable,bootstrap<0.05"
sse/880878,sse/880825,sse/880878 百元股,sse/880825 预计转亏,940,0.24965743519780778,20,-0.1470640534117462,0.4453037482418867,0.5203237874526372,2,0.137761981324925,2,0.137761981324925,19,0.16293295648281805,1,0.17138019876760135,False,True,,False,rejected:not_stable_not_significant
sse/880773,sse/880721,sse/880773 最近闪跌,sse/880721 北上重仓,506,-0.08833902923831409,20,-0.15354723784854066,0.1557222699009999,0.017931108993861106,6,-0.13773891433089602,54,-0.16691384914772606,6,-0.19112927435679095,9,-0.16338754745156625,True,True,0.4925,False,rejected:half-stable
sse/880785,sse/880735,sse/880785 最近多板,sse/880735 专精特新,1206,0.26823251003382165,18,0.20978799267798134,0.20978799267798134,0.1376637695868844,14,-0.13726652632774702,14,-0.13726652632774702,1,-0.16112662700773372,14,-0.1694708607692413,False,True,,False,rejected:not_stable_not_significant
sse/880867,sse/880887,sse/880867 昨高换手,sse/880887 次新超跌,2083,-0.1678796521900697,20,0.11155893018977742,0.44187658959280424,0.11288970273137162,16,-0.13702730105086702,16,-0.13702730105086702,16,-0.2742263381981114,3,-0.0610593670536068,False,True,,False,rejected:not_stable_not_significant
sse/880851,sse/880825,sse/880851 已高送转,sse/880825 预计转亏,845,-0.22440392936174003,20,-0.1199826263483349,0.48496074541333534,0.5175891033810056,3,0.13613911932608094,3,0.13613911932608094,19,0.2157823914057385,5,0.18519488230981113,False,True,,False,rejected:not_stable_not_significant
sse/880772,sse/880769,sse/880772 最近闪拉,sse/880769 股权集中,750,-0.29221806518254023,20,-0.3240392399372025,0.49592825648513866,0.05786731578026927,14,-0.136109342468409,44,-0.2164370856419498,14,-0.20922316957622433,2,-0.14715248515441456,False,True,,False,rejected:not_stable_not_significant
sse/880846,sse/880677,sse/880846 破净资产,sse/880677 活跃可转债,731,-0.47770072592066204,20,0.1950569304913098,0.5608290645123479,0.14974737416691922,15,0.13567046831240695,56,-0.15067822941375006,2,0.16002645508735092,15,0.1751748709822627,False,True,,False,rejected:not_stable_not_significant
sse/880808,sse/880825,sse/880808 股东减持,sse/880825 预计转亏,940,0.6494356812374276,20,-0.15272208537477505,0.4579977543590363,0.5723114172649235,1,0.13515987035932578,1,0.13515987035932578,16,-0.09659840723487395,1,0.18413594943040493,False,False,,False,rejected:sign_flips_between_halves
sse/880792,sse/880818,sse/880792 基金增仓,sse/880818 通达信热股,1005,0.13329264481385486,20,0.1349736726189122,0.4860954674158863,0.5729271949173221,1,0.13451314638903505,1,0.13451314638903505,1,0.13169930616414594,1,0.136964408082042,True,True,0.0725,False,rejected:half-stable
sse/880807,sse/880772,sse/880807 股东增持,sse/880772 最近闪拉,1038,-0.4370707890709735,20,0.18779004578698766,0.3391933073086936,0.11506868878074454,16,0.13350163897986328,44,0.17291849725873346,6,0.10684305264074728,16,0.19333376817645587,False,True,,False,rejected:not_stable_not_significant
sse/880843,sse/880825,sse/880843 业绩预降,sse/880825 预计转亏,883,0.6346941590601721,20,-0.21502854491454243,0.5410140454940183,0.6668521353272748,3,0.13266677415346878,3,0.13266677415346878,2,-0.16586825294713742,3,0.16831644616840702,False,False,,False,rejected:sign_flips_between_halves
sse/880453,sse/880603,sse/880453 公共交通,sse/880603 新进指标股,1086,0.1658372095572603,20,0.18499549489551265,0.5098053108431979,0.34084415713338106,2,-0.13231932083469508,39,0.13305870765159442,3,-0.21766390838260263,12,-0.13353370490922487,False,True,,False,rejected:not_stable_not_significant
sse/880878,sse/880640,sse/880878 百元股,sse/880640 历史新高,919,0.619631514529805,20,-0.0934877129254541,0.42556189917340737,0.44288193667252185,12,0.1318129667360816,12,0.1318129667360816,12,0.13050406399154532,12,0.1368177209227106,True,True,0.1375,False,rejected:half-stable
